asset,score
300759.SZ,0.2141648960068897
601225.SH,0.1873809182460158
000063.SZ,0.1257632263100192
688223.SH,0.0958606232262457
600048.SH,0.0930622214469896
600489.SH,0.0856766196851713
600660.SH,0.0469504484100764
603288.SH,0.019126288539275
688599.SH,0.0073091682352337
002459.SZ,0.000661702110546
300750.SZ,-0.0001222171905855
600196.SH,-0.0105497558965245
601618.SH,-0.0350187408077414
600809.SH,-0.0513138716819413
601816.SH,-0.0551051542080779
600999.SH,-0.0640355548142291
601169.SH,-0.0642796611093518
601288.SH,-0.0646879600056404
600061.SH,-0.0784514324124437
300223.SZ,-0.0785410660242808
688065.SH,-0.0808358301131764
601901.SH,-0.0818141512407061
600585.SH,-0.0951199193076358
002142.SZ,-0.0956515779845991
300999.SZ,-0.1037541930643123
601021.SH,-0.1059583231235857
600795.SH,-0.110928797540496
600436.SH,-0.1123693686387277
000999.SZ,-0.1135420698593044
600010.SH,-0.1164351066368838
